Date,Region,City,Salesperson,Product_Category,Product,Units_Sold,Unit_Price,Revenue,Conversion_Rate
2024-01-30,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-01-31,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-02-01,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-02-02,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-02-03,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-02-04,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-02-05,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-02-06,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-02-07,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-02-08,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-02-09,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-02-10,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-02-11,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-02-12,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-02-13,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-02-14,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-02-15,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-02-16,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-02-17,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-02-18,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-02-19,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-02-20,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-02-21,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-02-22,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-02-23,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-02-24,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-02-25,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-02-26,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-02-27,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-02-28,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-02-29,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-03-01,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-03-02,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-03-03,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-03-04,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-03-05,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-03-06,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-03-07,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-03-08,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-03-09,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-03-10,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-03-11,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-03-12,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-03-13,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-03-14,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-03-15,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-03-16,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-03-17,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-03-18,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-03-19,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-03-20,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-03-21,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-03-22,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-03-23,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-03-24,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-03-25,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-03-26,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-03-27,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-03-28,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-03-29,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-03-30,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-03-31,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-04-01,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-04-02,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-04-03,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-04-04,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-04-05,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-04-06,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-04-07,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-04-08,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-04-09,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-04-10,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-04-11,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-04-12,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-04-13,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-04-14,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-04-15,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-04-16,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-04-17,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-04-18,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-04-19,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-04-20,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-04-21,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-04-22,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-04-23,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-04-24,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-04-25,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-04-26,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-04-27,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-04-28,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-04-29,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-04-30,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-05-01,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-05-02,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-05-03,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-05-04,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-05-05,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-05-06,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-05-07,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-05-08,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-05-09,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-05-10,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-05-11,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-05-12,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-05-13,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-05-14,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-05-15,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-05-16,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-05-17,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-05-18,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-05-19,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-05-20,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-05-21,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-05-22,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-05-23,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-05-24,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-05-25,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-05-26,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-05-27,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-05-28,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-05-29,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-05-30,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-05-31,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-06-01,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-06-02,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-06-03,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-06-04,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-06-05,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-06-06,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-06-07,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-06-08,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-06-09,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-06-10,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-06-11,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-06-12,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-06-13,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-06-14,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-06-15,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-06-16,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-06-17,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-06-18,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-06-19,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-06-20,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-06-21,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-06-22,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-06-23,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-06-24,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
2024-06-25,North,Delhi,Amit,Electronics,Laptop,10,50000,500000,0.05
2024-06-26,South,Mumbai,Riya,Apparel,T-Shirt,15,700,10500,0.12
2024-06-27,East,Kolkata,John,Furniture,Chair,5,3000,15000,0.08
2024-06-28,West,Chennai,Sara,Books,Novel,8,400,3200,0.1
